age_group,age_count,tenure_group,tenure_count
55-64,73669,10-20 years,118244
55-64,73669,5-10 years,100102
55-64,73669,1-5 years,54595
55-64,73669,20+ years,46407
55-64,73669,Less than 1 year,0
45-54,64620,10-20 years,118244
45-54,64620,5-10 years,100102
45-54,64620,1-5 years,54595
45-54,64620,20+ years,46407
45-54,64620,Less than 1 year,0
25-34,60033,10-20 years,118244
25-34,60033,5-10 years,100102
25-34,60033,1-5 years,54595
25-34,60033,20+ years,46407
25-34,60033,Less than 1 year,0
35-44,49841,10-20 years,118244
35-44,49841,5-10 years,100102
35-44,49841,1-5 years,54595
35-44,49841,20+ years,46407
35-44,49841,Less than 1 year,0
65-74,36719,10-20 years,118244
65-74,36719,5-10 years,100102
65-74,36719,1-5 years,54595
65-74,36719,20+ years,46407
65-74,36719,Less than 1 year,0
18-24,24321,10-20 years,118244
18-24,24321,5-10 years,100102
18-24,24321,1-5 years,54595
18-24,24321,20+ years,46407
18-24,24321,Less than 1 year,0
75-84,7649,10-20 years,118244
75-84,7649,5-10 years,100102
75-84,7649,1-5 years,54595
75-84,7649,20+ years,46407
75-84,7649,Less than 1 year,0
85+,1096,10-20 years,118244
85+,1096,5-10 years,100102
85+,1096,1-5 years,54595
85+,1096,20+ years,46407
85+,1096,Less than 1 year,0
